Price,Age,Mileage,FuelType,Horsepower,MetColor,Automatic,Displacement,Doors,Weight
16605,23,29196,1,90,1,0,122,3,2568
16913,23,45321,1,90,1,0,122,3,2568
17159,24,25918,1,90,1,0,122,3,2568
18389,26,29826,1,90,0,0,122,3,2568
16913,30,23923,1,90,0,0,122,3,2579
15929,32,37904,1,90,0,0,122,3,2579
20787,27,58789,1,90,1,0,122,3,2745
22878,30,47155,1,90,1,0,122,3,2745
26445,27,12241,0,192,0,0,110,3,2612
15929,23,44203,1,69,0,0,116,3,2436
25769,25,19549,0,192,0,0,110,3,2612
24539,22,27098,0,192,0,0,110,3,2612
24108,25,20001,0,192,0,0,110,3,2612
26445,31,14292,0,192,1,0,110,3,2612
27675,32,21208,0,192,1,0,110,3,2612
27060,28,11644,0,192,0,0,110,3,2612
27983,30,21127,0,192,1,0,110,3,2612
22079,24,13494,0,110,1,0,98,3,2436
20603,24,15884,0,110,0,0,98,3,2348
20849,30,39991,0,110,1,0,98,3,2436
19619,30,42042,0,110,1,0,98,3,2436
20849,29,27281,0,110,0,1,98,3,2579
19619,28,35014,0,110,1,0,98,3,2469
20849,28,20021,0,110,1,0,98,3,2469
19988,29,16039,0,110,1,0,98,3,2469
19619,25,17678,0,110,1,0,98,3,2469
21519,27,21465,0,110,1,0,98,3,2469
19373,29,25734,0,110,1,0,98,3,2469
20849,28,27429,0,110,0,0,98,3,2469
22079,30,6891,0,110,1,0,98,3,2469
15929,29,6058,0,97,1,0,85,3,2425
19373,22,21872,0,97,1,0,85,3,2425
19619,27,18337,0,97,1,0,85,3,2425
18389,26,20314,0,97,1,0,85,3,2425
19065,22,25476,0,97,1,0,85,3,2425
19373,26,26719,0,97,0,0,85,3,2425
19619,25,15534,0,97,0,0,85,3,2425
18389,23,6214,0,97,1,0,85,3,2425
19373,32,15739,0,97,1,0,85,3,2425
18143,27,17088,0,97,0,0,85,3,2425
17159,22,30484,0,97,0,0,85,3,2425
20603,27,27383,0,97,1,0,85,3,2425
17159,22,29180,0,97,0,0,85,3,2425
20849,27,68602,1,90,0,0,122,5,2767
20849,22,62292,1,90,0,0,122,5,2767
23370,23,52195,1,90,0,0,122,5,2800
22079,27,49321,1,90,1,0,122,5,2767
19434,22,46633,0,97,1,0,85,5,2447
22079,22,44872,1,90,1,0,122,5,2767
26999,31,40378,0,192,1,0,110,5,2635
22079,22,38920,1,90,1,0,122,5,2767
19373,30,35472,0,97,1,0,85,5,2447
25215,26,34797,0,110,1,1,98,5,2601
26999,27,30985,0,192,1,0,110,5,2635
19065,25,30548,0,110,0,1,98,5,2568
16298,32,28412,0,110,1,0,98,5,2370
18758,28,26849,0,97,0,0,85,5,2447
18758,26,26719,0,97,0,0,85,5,2447
23309,23,24671,0,110,1,1,98,5,2601
19679,30,24202,0,110,1,0,98,5,2491
18389,22,23239,0,97,1,0,85,5,2447
20295,27,23101,0,110,0,0,98,5,2491
23063,31,22707,0,110,1,0,98,5,2491
22079,30,20823,0,110,1,0,98,5,2491
22079,27,20387,0,97,1,0,85,5,2447
20849,26,19996,0,110,1,0,98,5,2370
23309,28,19258,0,110,1,0,98,5,2491
18389,22,18890,0,97,1,0,85,5,2447
27368,22,18641,1,110,1,0,122,5,2811
19619,25,18467,0,97,1,0,85,5,2447
19619,28,18148,0,97,1,0,85,5,2447
15984,32,18143,0,97,1,0,85,5,2337
23309,28,17906,0,110,1,0,98,5,2491
19373,23,17539,0,97,1,0,85,5,2447
24539,28,17398,0,110,0,0,98,5,2491
20849,23,17398,0,110,1,0,98,5,2458
23063,31,15700,0,110,1,0,98,5,2491
22694,27,14595,0,110,0,0,98,5,2458
20781,29,14027,0,110,1,0,98,5,2458
18327,30,13670,0,97,1,0,85,5,2447
23309,25,12439,0,110,1,1,98,5,2601
21218,29,12427,0,110,1,0,98,5,2458
19004,25,10565,0,97,1,0,85,5,2447
22079,31,10090,0,110,1,1,98,5,2601
20480,25,9578,0,97,1,0,85,5,2447
21464,28,5305,0,110,1,0,98,5,2491
18327,30,4350,0,97,1,0,85,5,2425
22079,20,41611,1,90,1,0,122,3,2745
19619,19,32239,0,97,1,0,85,3,2425
26999,19,31072,1,110,1,0,122,3,2789
20234,20,29894,0,97,1,0,85,3,2425
27368,20,23301,1,90,1,0,122,3,2778
24539,16,21420,1,90,1,0,122,3,2778
19619,20,20710,0,97,1,0,85,3,2425
23247,20,19791,0,110,0,0,98,3,2469
24539,17,18859,1,90,1,0,122,3,2778
19619,19,18290,0,97,1,0,85,3,2425
19619,19,16123,0,97,1,0,85,3,2425
23063,11,15224,0,110,1,0,98,3,2469
21464,18,14852,0,97,1,0,85,3,2425
23358,20,14400,0,110,1,0,98,3,2469
19988,19,11930,0,97,1,0,85,3,2425
22755,13,11185,0,71,0,0,85,3,2480
22755,11,10018,0,110,1,0,98,3,2436
23924,11,9094,0,110,1,1,98,3,2546
20849,19,8543,0,97,1,0,85,3,2425
23124,14,7146,0,110,1,0,98,3,2304
21464,17,6214,0,97,1,0,85,3,2425
22079,20,4466,0,110,1,0,98,3,2436
39975,4,1,1,116,0,0,122,5,3263
38130,4,2485,1,116,1,0,122,5,3263
38468,4,932,1,116,1,0,122,5,3263
30689,8,8235,1,116,1,0,122,5,2910
30689,8,8235,1,116,1,0,122,5,2910
28229,7,6214,1,116,1,0,122,5,2800
30738,8,3728,1,90,1,0,122,5,2822
26999,8,6736,1,90,1,0,122,5,2800
22017,7,1,0,110,1,0,98,3,2436
23678,20,39146,1,90,1,0,122,5,2767
27368,17,35613,1,110,1,0,122,5,2811
23309,13,35441,0,110,0,0,98,5,2458
24539,19,31751,1,90,1,0,122,5,2767
20111,14,24861,0,110,1,0,98,5,2458
23309,20,24305,0,110,1,0,98,5,2491
20849,17,22377,0,110,0,0,98,5,2491
26753,16,22369,0,110,1,0,98,5,2491
19619,20,22369,0,110,1,0,98,5,2370
20295,20,21748,0,97,1,0,85,5,2447
22079,17,20965,0,97,1,0,85,5,2502
19496,13,20802,0,110,1,0,98,5,2370
19988,20,20273,0,97,1,0,85,5,2447
19619,20,18515,0,97,1,0,85,5,2447
19988,19,18294,0,97,1,0,85,5,2447
19619,13,18250,0,110,1,0,98,4,2436
20295,20,18020,0,97,0,0,85,5,2447
20295,19,17287,0,97,0,0,85,5,2447
22694,19,17008,0,97,0,0,85,5,2502
19988,13,15640,0,110,1,0,98,5,2436
28290,11,15534,1,116,1,0,122,5,2910
24477,20,14292,0,110,1,0,98,5,2491
20234,20,14036,0,97,1,0,85,5,2447
29459,19,13474,0,192,1,0,110,5,2612
24539,13,13315,0,110,1,0,98,5,2491
22755,16,12818,0,110,1,0,98,4,2403
23309,15,12595,0,110,1,0,98,5,2491
20234,16,12493,0,97,0,0,85,5,2447
25215,20,12427,0,110,0,1,98,5,2568
30135,13,12420,0,110,1,0,98,5,2491
23924,19,11388,0,110,0,0,98,5,2491
25769,14,11120,0,110,1,1,98,4,2535
21156,20,10750,0,97,1,0,85,5,2447
24539,19,10587,0,110,0,0,98,5,2491
22694,10,8542,0,97,1,0,85,5,2447
23985,12,8472,0,110,1,0,98,5,2458
26753,13,8188,0,110,1,0,98,5,2491
20748,15,8175,0,97,1,0,85,4,2392
23985,16,8078,0,110,1,0,98,4,2436
23247,11,7767,0,110,1,0,98,5,2458
24293,17,7456,0,110,1,0,98,5,2491
24293,16,7304,0,110,0,1,98,5,2601
23309,16,6835,0,110,1,0,98,4,2436
25523,17,6214,0,110,0,0,98,5,2436
24108,9,4753,0,110,1,0,98,5,2458
23985,14,4039,0,110,1,0,98,4,2425
21710,11,3825,0,97,1,0,85,5,2447
24539,14,3728,0,110,0,0,98,5,2491
24539,14,3392,0,110,1,0,98,5,2491
25769,14,3280,0,110,1,1,98,4,2535
25215,12,3107,0,110,1,0,98,5,2491
21888,9,1,0,98,1,0,85,4,2348
22441,9,1,0,110,1,0,98,5,2370
29213,8,6835,0,110,1,0,98,5,2491
23985,8,6262,0,97,1,0,85,5,2447
23309,8,6214,0,97,1,0,85,5,2447
26999,8,6082,0,110,1,0,98,5,2491
24539,8,5328,0,110,1,0,98,5,2491
23309,8,4350,0,110,0,0,98,5,2458
24539,7,3884,0,110,1,0,98,5,2458
26999,8,3107,0,110,1,0,98,5,2491
27675,6,1864,0,110,0,0,98,5,2491
22755,7,1243,0,110,0,0,98,5,2370
23001,7,280,0,97,1,0,85,5,2447
25984,2,140,0,97,1,0,85,5,2447
26445,2,9,0,110,1,0,98,5,2491
21888,1,1,0,98,1,0,85,4,2425
22441,1,1,0,110,1,0,98,5,2370
8549,43,150993,1,69,0,0,116,3,2447
11685,38,112243,1,90,0,0,122,4,2557
14699,40,111760,1,90,1,0,122,5,2657
9533,43,111137,0,110,0,0,98,3,2390
14699,40,100041,1,69,1,0,116,3,2436
5351,44,98375,1,69,0,0,110,5,2447
5843,44,81569,1,69,1,0,110,5,2447
14453,40,80817,1,69,1,0,116,5,2513
16298,41,76693,1,69,1,0,116,5,2513
14699,37,73457,0,110,1,0,98,5,2370
14637,44,68351,1,69,1,0,116,5,2414
18143,39,67634,1,90,1,0,122,5,2657
12239,42,65678,0,97,1,0,85,3,2260
14699,39,61406,0,110,1,0,98,5,2467
14139,44,60167,0,110,1,0,98,5,2370
13838,40,59973,0,97,1,0,85,3,2260
12915,42,57293,0,110,1,0,98,5,2370
12854,35,56828,1,69,1,0,116,3,2447
15929,43,55904,1,69,1,0,116,5,2513
14145,44,55772,0,110,1,0,98,3,2304
15375,40,53058,0,110,1,0,98,5,2370
13469,43,52827,0,97,0,0,85,5,2337
14084,41,52389,0,110,0,0,98,5,2381
14699,37,51414,0,110,1,0,98,5,2471
16298,41,50397,1,69,1,0,116,5,2513
18143,40,49974,1,90,1,0,122,5,2657
14502,34,48888,0,110,1,1,98,5,2436
14084,40,48731,0,110,1,0,98,5,2370
16605,33,48534,1,90,1,0,122,3,2579
13469,33,48045,0,110,1,0,98,5,2370
16605,33,47037,1,69,0,0,116,3,2436
13469,41,47036,0,97,1,0,85,3,2260
13469,44,46507,0,97,1,0,85,3,2260
15929,38,46180,0,110,1,0,98,5,2370
14699,43,46159,0,110,1,0,98,5,2370
15314,44,46088,0,110,1,0,98,5,3560
14699,40,45386,0,110,1,0,98,5,2370
18389,44,44610,0,110,1,0,98,4,2352
15314,35,44242,0,110,1,0,98,5,2370
15929,38,42132,0,110,1,0,98,5,2370
14699,35,41003,0,110,1,0,98,3,2293
14379,34,40603,0,97,1,0,85,5,2337
15314,42,40118,0,110,1,0,98,5,2381
15683,36,39432,0,97,1,0,85,5,2337
14668,44,39427,0,97,0,0,85,3,2260
15929,33,38525,0,110,1,0,98,5,2370
14699,42,38090,0,97,1,0,85,3,2271
15867,41,38028,0,110,1,0,98,3,2304
14637,41,37904,0,110,0,0,98,5,2370
14330,38,37797,0,110,1,0,98,5,2370
13469,44,37593,0,110,0,0,98,5,2370
17159,35,36972,1,69,1,0,116,3,2447
17159,44,36661,0,110,0,1,98,5,2447
14699,40,36632,0,110,1,0,98,5,2381
13469,38,36535,0,110,1,0,98,5,2370
15314,38,36265,0,110,1,0,98,3,2326
14699,43,36212,0,110,1,0,98,3,2304
16605,33,35860,1,90,1,0,122,3,2568
14379,33,35585,0,110,1,0,98,5,2370
16605,39,34797,0,110,1,0,98,5,2370
14699,42,34777,0,110,0,0,98,3,2315
15867,39,34597,0,110,1,0,98,4,2271
16605,43,34510,0,110,1,0,98,5,2392
14453,42,34424,0,110,0,0,98,5,2370
14453,33,34393,0,110,0,0,98,5,2370
13346,43,33927,0,110,0,0,98,4,2271
14453,43,33413,0,110,1,0,98,5,2370
18389,42,33379,0,110,1,1,98,5,2436
12226,39,33333,0,110,1,0,98,5,2370
15867,42,33150,0,110,0,0,98,5,2370
16605,38,32933,0,110,1,0,98,5,2370
14453,44,32363,0,97,1,0,85,3,2260
14699,44,32311,0,97,0,0,85,3,2260
16544,33,32277,0,110,1,0,98,5,2370
14699,41,32145,0,97,1,0,85,3,2260
15369,39,31611,0,110,1,0,98,5,2370
16605,41,31600,0,110,0,0,98,4,2271
15683,40,31466,0,110,1,0,98,5,2370
14760,39,31069,0,97,1,0,85,5,2337
14699,38,30758,0,110,1,0,98,5,2370
15369,44,30653,0,110,1,0,98,5,2381
15314,34,30628,0,110,1,0,98,3,2293
18143,40,30417,1,90,1,0,122,5,2657
13469,39,30413,0,110,0,0,98,3,2293
16605,33,30402,1,69,1,0,116,3,2436
15929,38,29948,0,110,1,0,98,5,2370
16605,35,29858,1,69,1,0,116,3,2436
16544,34,29833,0,110,1,0,98,4,2271
16605,43,29826,0,110,1,0,98,5,2370
14120,41,29422,0,110,1,0,98,5,2370
16544,39,29093,0,97,1,0,85,5,2337
14139,39,29014,0,110,0,0,98,3,2293
15683,43,28903,0,97,0,0,85,5,2260
18438,38,28786,0,110,1,0,98,3,2326
15929,35,28772,0,97,1,0,85,5,2337
15929,40,28512,0,110,1,0,98,5,2381
15806,39,28405,0,97,1,0,85,5,2392
17159,40,28335,0,110,1,1,98,5,2436
14699,41,28140,0,110,1,0,98,5,2370
15929,39,28012,0,110,1,0,98,5,2370
14391,40,27856,0,110,1,0,98,5,2370
12239,37,27811,0,97,0,0,85,3,2260
14631,44,27476,0,97,1,0,85,5,2337
15929,43,27112,0,110,1,0,98,5,2370
15375,36,26984,0,110,1,0,98,3,2293
17066,39,26877,0,110,1,0,98,5,2370
12915,35,26719,0,110,0,0,98,3,2315
15123,33,26609,0,110,1,0,98,5,2370
17159,42,26446,0,110,1,0,98,5,2381
13469,38,25945,0,110,0,0,98,3,2293
15929,44,25786,0,110,1,0,98,5,2432
15806,40,25687,0,110,1,0,98,5,2381
17214,35,25476,0,110,1,0,98,5,2370
16913,39,24855,0,110,1,0,98,3,2326
15683,37,24704,0,110,1,0,98,5,2370
15375,41,24643,0,110,1,0,98,3,2304
17159,43,24637,0,110,0,0,98,3,2326
14145,39,24559,0,97,1,0,85,3,2260
17159,44,24554,0,97,1,0,85,5,2337
14631,41,24506,0,97,0,0,85,5,2337
12239,44,24233,0,97,1,0,85,3,2260
16605,42,24191,0,110,1,0,98,3,2293
14084,37,24117,0,97,0,0,85,3,2260
15314,42,24025,0,110,1,0,98,5,2370
15929,40,24018,0,110,1,0,98,5,2381
17214,44,23899,0,110,1,0,98,5,2381
14453,42,23661,0,97,0,0,85,3,2260
14330,39,23477,0,97,1,0,85,5,2337
12239,43,23349,0,97,0,0,85,3,2271
17159,41,23322,0,110,1,0,98,5,2370
15929,44,23232,0,110,1,0,98,5,2381
13469,38,23190,0,97,1,0,85,3,2260
12177,42,22991,0,97,1,0,85,3,2260
14699,44,22991,0,110,0,0,98,4,2370
14748,40,22721,0,110,0,0,98,5,2403
13223,36,22537,0,110,1,0,98,5,2370
17159,37,22415,0,110,1,1,98,5,2370
13838,44,22410,0,110,1,0,98,3,2293
15929,39,21499,0,110,1,0,98,5,2370
14699,41,21127,0,110,1,0,98,5,2370
13469,42,20892,0,97,1,0,85,3,2260
15929,33,20872,0,110,1,0,98,5,2370
15929,35,20666,0,110,1,0,98,5,2370
14385,43,20575,0,110,1,0,98,5,2370
13530,41,20505,0,110,1,1,98,5,2370
17159,35,20469,0,110,1,0,98,5,2381
14699,38,20369,0,110,0,0,98,5,2370
14453,40,20214,0,110,1,0,98,3,2293
15252,34,20152,0,97,1,0,85,5,2337
15375,35,19884,0,110,0,0,98,3,2293
15867,33,19263,0,110,1,0,98,5,2370
15006,41,19256,0,110,0,0,98,3,2304
15683,43,19102,0,110,1,0,98,3,2293
14699,42,18759,0,110,1,0,98,5,2370
14637,41,18465,0,116,1,0,98,5,2370
14699,44,18465,0,110,1,1,98,3,2359
18389,42,18417,0,110,0,0,98,3,2326
14699,41,18055,0,97,1,0,85,5,2337
15929,33,17843,0,110,1,0,98,5,2370
18389,41,17753,0,110,0,0,98,5,2403
16544,40,17623,0,110,1,0,98,3,2293
16913,38,17492,0,110,1,0,98,5,2370
15929,43,16964,0,110,1,0,98,3,2293
15683,33,16926,0,110,1,0,98,5,2370
14631,39,16883,0,97,1,0,85,5,2337
12239,42,16865,0,97,1,0,85,5,2337
15314,38,16318,0,110,1,0,98,5,2370
15375,38,16156,0,97,1,0,85,5,2337
18389,43,15676,0,110,1,0,98,3,2304
16913,39,15573,0,110,1,0,98,5,2381
15615,39,15362,0,110,1,1,98,4,2337
18438,33,15317,0,110,1,0,98,3,2326
15683,43,15257,0,110,1,0,98,5,2381
17651,41,15208,0,110,1,0,98,5,2271
15929,39,15189,0,110,1,0,98,3,2293
14145,35,14920,0,97,0,0,85,3,2260
14699,41,14913,0,97,1,0,85,3,2260
16544,40,14674,0,110,1,0,98,5,2370
15867,38,14208,0,110,1,0,98,5,2370
12915,41,14155,0,86,1,0,79,5,2282
13469,35,13611,0,97,0,0,85,3,2260
14699,41,13453,0,97,0,0,85,3,2260
14084,37,13359,0,110,1,0,98,5,2271
16298,44,13066,0,110,1,0,98,5,2381
12608,39,11495,0,110,0,0,98,4,2271
17214,35,11185,0,110,1,0,98,5,2370
14699,40,10595,0,97,0,0,85,5,2337
16298,33,10260,0,97,1,0,85,5,2392
15929,40,10144,0,110,1,0,98,5,2381
14453,38,9942,0,97,1,0,85,5,2337
14145,39,7456,0,110,1,0,98,5,2370
16605,43,6214,0,97,1,0,85,5,2337
7995,53,134216,1,69,0,0,116,3,2447
7872,51,123135,1,69,0,0,116,4,2414
8610,53,109361,1,69,0,0,116,3,2436
9533,54,108205,1,72,1,0,122,4,2425
10947,45,108119,1,69,1,0,116,5,2414
10455,55,93206,0,110,1,0,98,3,2370
11009,54,92789,1,72,1,0,122,5,2502
12177,51,91177,0,110,1,0,98,5,2381
12608,53,89175,1,69,0,0,116,5,2513
11378,48,88315,0,110,0,0,98,5,2467
9533,48,87427,1,69,1,0,116,5,2447
11624,54,85994,1,69,1,0,116,4,2414
9533,55,85128,1,72,1,0,122,5,2502
10148,52,84045,1,69,1,0,116,5,2513
12239,49,81626,0,110,1,0,98,5,2370
5474,56,80253,1,69,0,0,110,5,2447
12239,50,78361,0,110,0,0,98,3,2326
11070,48,74404,0,110,1,0,98,5,2381
12239,53,73268,1,69,1,0,116,5,2447
15314,47,72968,1,90,1,0,122,3,2568
12915,55,72809,0,110,1,0,98,4,2282
13223,54,71804,0,110,1,0,98,4,2282
11009,53,71528,0,97,1,0,85,3,2260
12915,54,71486,1,69,1,0,116,5,2513
6335,56,70834,1,72,1,0,122,5,2502
13469,49,67020,0,97,0,0,85,5,2337
11624,52,65123,0,97,1,0,85,3,2260
12239,54,64283,0,110,1,0,98,5,2370
13469,51,64012,1,69,0,0,116,5,2513
14637,47,63599,0,110,1,0,98,5,2381
12239,50,63398,0,97,1,0,85,5,2337
14699,54,62977,0,110,0,0,98,5,2381
9717,50,62053,0,110,1,0,98,4,2282
13469,52,61716,0,110,1,0,98,3,2326
11009,48,60956,1,69,1,0,116,5,2513
14699,51,60919,0,110,0,0,98,5,2381
13407,49,60646,0,110,1,0,98,3,2304
12239,55,60418,0,110,0,0,98,5,2381
12239,51,59736,1,72,0,0,122,3,2458
13469,54,59714,0,110,1,0,98,5,2381
11009,55,58658,1,72,0,0,122,3,2458
11009,55,58485,0,86,1,0,79,3,2238
12915,49,56756,0,110,1,0,98,3,2326
11009,53,56048,0,97,0,0,85,3,2260
11378,53,55984,1,69,1,0,116,5,2513
14145,48,55332,0,97,1,0,85,5,2337
11993,52,55302,0,110,0,0,98,5,2370
12239,45,54230,0,110,1,0,98,3,2293
14084,49,53575,0,110,0,0,98,3,2304
15375,54,52567,0,110,0,0,98,5,2370
12915,50,51926,0,110,0,0,98,5,2370
15929,50,51640,0,110,1,0,98,5,2370
15006,50,51453,0,110,1,0,98,3,2293
13469,50,51409,0,97,1,0,85,3,2271
13469,54,50893,0,110,1,0,98,5,2436
13887,49,49909,0,110,1,1,98,3,2359
13223,49,49766,0,97,1,0,85,3,2271
13401,53,49585,0,110,0,0,98,5,2370
14145,47,48955,0,110,1,0,98,5,2467
11993,48,48840,0,110,1,0,98,5,2370
12608,55,48330,0,110,0,0,98,3,2293
15375,49,48248,0,110,0,0,98,4,2271
14699,54,48013,0,110,1,0,98,4,2282
13223,50,47328,0,97,1,0,85,5,2337
14084,46,46758,0,110,1,0,98,4,2282
14699,54,46746,0,110,1,0,98,5,2381
14453,48,46631,0,110,1,0,98,3,2326
13469,50,46509,0,110,1,1,98,4,2337
14699,55,46426,0,110,1,0,98,5,2381
13524,49,46389,1,69,0,0,116,3,2436
14084,56,46292,0,97,0,0,85,3,2260
10947,49,46288,0,110,1,0,98,5,2370
12915,50,45754,0,110,0,0,97,5,2370
14453,47,45610,0,110,1,0,98,5,2370
14084,49,45469,0,97,1,0,85,3,2271
14760,52,45360,0,110,0,0,98,3,2326
14699,50,44889,0,110,0,1,98,3,2359
12116,53,44739,0,97,1,0,85,3,2260
13469,54,44568,0,110,1,0,98,4,2282
13469,54,44289,0,110,0,0,98,5,2381
10695,50,43769,1,69,1,0,116,3,2436
13518,53,43644,0,110,0,0,98,3,2293
11685,55,43380,0,97,1,0,85,3,2260
14699,49,43284,0,86,0,0,79,3,2260
13223,46,43231,0,97,0,0,85,5,2348
10763,47,42875,1,69,1,0,116,5,2513
10763,49,42604,0,110,1,0,98,4,2271
14084,55,42576,1,72,1,0,122,3,2458
12239,46,42510,0,97,0,0,85,3,2260
14699,56,41493,0,110,0,0,98,5,2403
17159,52,41338,0,110,1,0,98,5,2381
13838,54,41050,0,110,1,0,98,5,2403
13407,50,40682,0,97,1,0,85,5,2337
11993,56,40638,0,97,1,0,85,3,2260
12239,52,40495,0,97,1,0,85,3,2260
14699,56,40389,0,110,1,0,98,5,2370
12854,48,39888,0,110,1,0,98,3,2293
